Longueur d'onde;Absorbance
3.3E-7;0.1751
3.32E-7;0.1833
3.34E-7;0.1871
3.36E-7;0.1906
3.38E-7;0.1925
3.4E-7;0.1958
3.42E-7;0.1993
3.44E-7;0.1978
3.46E-7;0.2023
3.48E-7;0.2042
3.5E-7;0.2049
3.52E-7;0.204
3.54E-7;0.2028
3.56E-7;0.2024
3.58E-7;0.2016
3.6E-7;0.1995
3.62E-7;0.197
3.64E-7;0.1939
3.66E-7;0.1902
3.68E-7;0.1859
3.7E-7;0.1809
3.72E-7;0.1764
3.74E-7;0.1721
3.76E-7;0.1679
3.78E-7;0.1603
3.8E-7;0.1548
3.82E-7;0.149
3.84E-7;0.1438
3.86E-7;0.1372
3.88E-7;0.1344
3.9E-7;0.128
3.92E-7;0.1203
3.94E-7;0.1135
3.96E-7;0.1069
3.98E-7;0.1003
4E-7;0.0926
4.02E-7;0.0862
4.04E-7;0.0794
4.06E-7;0.0734
4.08E-7;0.0667
4.1E-7;0.0611
4.12E-7;0.0562
4.14E-7;0.0506
4.16E-7;0.0464
4.18E-7;0.0428
4.2E-7;0.0395
4.22E-7;0.0373
4.24E-7;0.0349
4.26E-7;0.0339
4.28E-7;0.0329
4.3E-7;0.0325
4.32E-7;0.033
4.34E-7;0.0326
4.36E-7;0.0341
4.38E-7;0.0348
4.4E-7;0.0365
4.42E-7;0.0373
4.44E-7;0.0388
4.46E-7;0.0413
4.48E-7;0.0425
4.5E-7;0.0449
4.52E-7;0.0473
4.54E-7;0.05
4.56E-7;0.0525
4.58E-7;0.0565
4.6E-7;0.0597
4.62E-7;0.0628
4.64E-7;0.0661
4.66E-7;0.0705
4.68E-7;0.0739
4.7E-7;0.078
4.72E-7;0.0819
4.74E-7;0.0862
4.76E-7;0.0908
4.78E-7;0.0958
4.8E-7;0.1004
4.82E-7;0.1055
4.84E-7;0.1108
4.86E-7;0.1179
4.88E-7;0.1235
4.9E-7;0.1286
4.92E-7;0.1348
4.94E-7;0.1403
4.96E-7;0.1456
4.98E-7;0.1509
5E-7;0.1572
5.02E-7;0.1622
5.04E-7;0.1697
5.06E-7;0.175
5.08E-7;0.1801
5.1E-7;0.1859
5.12E-7;0.1906
5.14E-7;0.1952
5.16E-7;0.1998
5.18E-7;0.2055
5.2E-7;0.2095
5.22E-7;0.2128
5.24E-7;0.2154
5.26E-7;0.2183
5.28E-7;0.2211
5.3E-7;0.2233
5.32E-7;0.2242
5.34E-7;0.2252
5.36E-7;0.2258
5.38E-7;0.2257
5.4E-7;0.2247
5.42E-7;0.2238
5.44E-7;0.2219
5.46E-7;0.2197
5.48E-7;0.2163
5.5E-7;0.2118
5.52E-7;0.2077
5.54E-7;0.2035
5.56E-7;0.1991
5.58E-7;0.1929
5.6E-7;0.185
5.62E-7;0.179
5.64E-7;0.1722
5.66E-7;0.1651
5.68E-7;0.1558
5.7E-7;0.1478
5.72E-7;0.1415
5.74E-7;0.1342
5.76E-7;0.1253
5.78E-7;0.118
5.8E-7;0.1111
5.82E-7;0.1044
5.84E-7;0.0959
5.86E-7;0.09
5.88E-7;0.0844
5.9E-7;0.0772
5.92E-7;0.0718
5.94E-7;0.0667
5.96E-7;0.0624
5.98E-7;0.0564
6E-7;0.052
6.02E-7;0.048
6.04E-7;0.0437
6.06E-7;0.0408
6.08E-7;0.0381
6.1E-7;0.0339
6.12E-7;0.0319
6.14E-7;0.029
6.16E-7;0.0264
6.18E-7;0.0248
6.2E-7;0.0227
6.22E-7;0.0204
6.24E-7;0.0191
6.26E-7;0.0174
6.28E-7;0.0162
6.3E-7;0.0154
6.32E-7;0.014
6.34E-7;0.0137
6.36E-7;0.0131
6.38E-7;0.0122
6.4E-7;0.0114
6.42E-7;0.0135
6.44E-7;0.0133
6.46E-7;0.0123
6.48E-7;0.0123
6.5E-7;0.0117
6.52E-7;0.0112
6.54E-7;0.0108
6.56E-7;0.0107
6.58E-7;0.0106
6.6E-7;0.0103
6.62E-7;0.0102
6.64E-7;0.0098
6.66E-7;0.0101
6.68E-7;0.0098
6.7E-7;0.0097
6.72E-7;0.0097
6.74E-7;0.0097
6.76E-7;0.0096
6.78E-7;0.0093
6.8E-7;0.0096
6.82E-7;0.0096
6.84E-7;0.0093
6.86E-7;0.0093
6.88E-7;0.0092
6.9E-7;0.0092
6.92E-7;0.0092
6.94E-7;0.0089
6.96E-7;0.0089
6.98E-7;0.0089
7E-7;0.0089
7.02E-7;0.0089
7.04E-7;0.0089
7.06E-7;0.0089
7.08E-7;0.0089
7.1E-7;0.0086
7.12E-7;0.0086
7.14E-7;0.0086
7.16E-7;0.0086
7.18E-7;0.0086
7.2E-7;0.0083
7.22E-7;0.0083
7.24E-7;0.0083
7.26E-7;0.0087
7.28E-7;0.0084
7.3E-7;0.0081
7.32E-7;0.0084
7.34E-7;0.0078
7.36E-7;0.0081
7.38E-7;0.0081
7.4E-7;0.0079
7.42E-7;0.0079
7.44E-7;0.0079
7.46E-7;0.0079
7.48E-7;0.0079
7.5E-7;0.0074
7.52E-7;0.0079
7.54E-7;0.0076
7.56E-7;0.0077
7.58E-7;0.0077
7.6E-7;0.0077
7.62E-7;0.0077
7.64E-7;0.0077
7.66E-7;0.0078
7.68E-7;0.0073
7.7E-7;0.0078
7.72E-7;0.0075
7.74E-7;0.0081
7.76E-7;0.0076
7.78E-7;0.0077
7.8E-7;0.0077
7.82E-7;0.0078
7.84E-7;0.0078
7.86E-7;0.0074
7.88E-7;0.0069
7.9E-7;0.0074
7.92E-7;0.0075
7.94E-7;0.0075
7.96E-7;0.0077
7.98E-7;0.0074
8E-7;0.0072
