gamma,C,epsilon,MSE,MAE,R2
0.1,0.01,0.001,0.014600056319169748,0.08797488392351414,0.7470932794534089
0.1,0.01,0.01,0.014614285175516,0.08821249096043089,0.7468468027743475
0.1,0.01,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.1,0.01,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.1,0.1,0.001,0.006096290541256904,0.05189795076159656,0.8943981574739458
0.1,0.1,0.01,0.006127745181852985,0.052224461691875106,0.8938532903977359
0.1,0.1,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.1,0.1,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.1,1.0,0.001,0.0022182963414180148,0.030359118872237252,0.9615739802200685
0.1,1.0,0.01,0.00225728901161366,0.030998575264613436,0.9608985370485522
0.1,1.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.1,1.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.1,100.0,0.001,0.000956382817047938,0.017318601701939298,0.9834332391218845
0.1,100.0,0.01,0.0009367293538843969,0.01840568958596916,0.9837736825289108
0.1,100.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.1,100.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.2,0.01,0.001,0.013417352305179387,0.08291386896534422,0.7675804465585698
0.2,0.01,0.01,0.013449696495665821,0.0833218839160413,0.767020170422243
0.2,0.01,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.2,0.01,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.2,0.1,0.001,0.004561668584537826,0.04368606157483717,0.9209813567348296
0.2,0.1,0.01,0.004562615520525415,0.044061061497241184,0.9209649536148721
0.2,0.1,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.2,0.1,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.2,1.0,0.001,0.0014908976415241263,0.024452261869758265,0.9741742069382677
0.2,1.0,0.01,0.0015131994198369155,0.025441330832832572,0.9737878885918078
0.2,1.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.2,1.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.2,100.0,0.001,0.0008456541022071197,0.015704383188207976,0.9853513163901181
0.2,100.0,0.01,0.000821153265563696,0.017110403942613563,0.9857757275095465
0.2,100.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.2,100.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.5,0.01,0.001,0.012746380867405841,0.07906756757723908,0.7792032226765587
0.5,0.01,0.01,0.012820211863922227,0.07955190915617172,0.7779242991713713
0.5,0.01,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.5,0.01,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.5,0.1,0.001,0.003063614798474102,0.03543254364070088,0.9469311107599788
0.5,0.1,0.01,0.00310512041114733,0.03613283381518475,0.946212137616589
0.5,0.1,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.5,0.1,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.5,1.0,0.001,0.0010944067949150232,0.01949224801308149,0.9810423448105162
0.5,1.0,0.01,0.00110034191484134,0.020711952883864886,0.9809395348155544
0.5,1.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.5,1.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
0.5,100.0,0.001,0.0009073957473465629,0.015560288341812572,0.9842818083928876
0.5,100.0,0.01,0.000883751684874715,0.01743980668131054,0.9846913782034028
0.5,100.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
0.5,100.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
1.0,0.01,0.001,0.014366498551405371,0.08369826322238373,0.751139039812971
1.0,0.01,0.01,0.014412502236098704,0.0842203768999594,0.7503421496658026
1.0,0.01,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
1.0,0.01,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
1.0,0.1,0.001,0.0026582153153840494,0.03189931415398981,0.9539535668066017
1.0,0.1,0.01,0.002680215045293628,0.032832360807443464,0.9535724806366096
1.0,0.1,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
1.0,0.1,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
1.0,1.0,0.001,0.0010495434212363312,0.01810204840165738,0.9818194821353111
1.0,1.0,0.01,0.0010655078101725432,0.01976637299480623,0.9815429420204564
1.0,1.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
1.0,1.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
1.0,100.0,0.001,0.0012357301391904116,0.017364180192775334,0.9785942978471331
1.0,100.0,0.01,0.0011425021607907578,0.019191734285229568,0.9802092219107675
1.0,100.0,1.0,0.07483483120619107,0.23757927140739074,-0.29631224217714136
1.0,100.0,5.0,0.07483483120619103,0.23757927140739069,-0.2963122421771407
