T / K	H-H(Tr) / kJ mol-1 K-1 
1	-4.93096636
2	-4.93103535
5	-4.93039325
10	-4.93205112
16	-4.92893119
20	-4.92881783
25	-4.92379745
35	-4.91498894
50	-4.83580809
70	-4.68957404
80	-4.56323256
100	-4.29759851
120	-3.92283256
160	-3.23189636
200	-2.23883256
220	-1.80816851
240	-1.31203256
280	-0.46457636
298.15	0
300	0.045
400	2.539
500	5.105
600	7.725
700	10.399
800	13.123
900	15.899
1000	18.733
1100	21.638
1200	24.633
1300	27.762
1357.9	29.66
1358	42.798
1400	44.177
1500	47.462
1600	50.746
1700	54.031
1800	57.315
1900	60.6
2000	63.884
2100	67.168
2200	70.453
2300	73.737
2400	77.022
2500	80.306
2600	83.591
2700	86.875
2800	90.159
2843.161	91.58
2843.261	392.257
2900	393.648
3000	396.138
3100	398.678
3200	401.268
3300	403.91
3400	406.603
3500	409.346
3600	412.138
3700	414.979
3800	417.866
3900	420.798
4000	423.772
4100	426.786
4200	429.839
4300	432.927
4400	436.048
4500	439.2
4600	442.38
4700	445.587
4800	448.817
4900	452.069
5000	455.34
5100	458.63
5200	461.936
5300	465.257
5400	468.591
5500	471.938
5600	475.297
5700	478.666
5800	482.046
5900	485.435
6000	488.834
