Temps;Absorbance
0;1.1916
2;1.2178
4;1.1845
6;1.193
8;1.1912
10;1.185
12;1.1706
14;1.1639
16;1.1596
18;1.1494
20;1.1463
22;1.138
24;1.1315
26;1.1235
28;1.1163
30;1.1071
32;1.0999
34;1.0929
36;1.0829
38;1.0767
40;1.0703
42;1.0634
44;1.0565
46;1.0475
48;1.0401
50;1.0343
52;1.0271
54;1.0209
56;1.0137
58;1.0071
60;1.0001
62;0.9929
64;0.9859
66;0.9796
68;0.9731
70;0.9659
72;0.959
74;0.9527
76;0.9461
78;0.9394
80;0.9331
82;0.9267
84;0.9201
86;0.9135
88;0.9073
90;0.901
92;0.895
94;0.8888
96;0.8824
98;0.8762
100;0.87
102;0.8641
104;0.8578
106;0.8518
108;0.8457
110;0.8399
112;0.8341
114;0.8283
116;0.8224
118;0.8167
120;0.811
122;0.8055
124;0.7996
126;0.7938
128;0.7881
130;0.7827
132;0.7771
134;0.7718
136;0.7663
138;0.7608
140;0.7553
142;0.7501
144;0.7445
146;0.739
148;0.734
150;0.7288
152;0.7235
154;0.7183
156;0.7131
158;0.708
160;0.7029
162;0.6979
164;0.6928
166;0.688
168;0.6832
170;0.6781
172;0.6733
174;0.6684
176;0.6633
178;0.6585
180;0.6537
182;0.6488
184;0.6441
186;0.6395
188;0.6349
190;0.6302
192;0.6256
194;0.621
196;0.6166
198;0.6123
200;0.6077
202;0.6032
204;0.5988
206;0.5942
208;0.5899
210;0.5855
212;0.5811
214;0.5768
216;0.5726
218;0.5684
220;0.5643
222;0.5603
224;0.556
226;0.5521
228;0.5477
230;0.5437
232;0.5397
234;0.5356
236;0.5317
238;0.5277
240;0.5238
242;0.5197
244;0.5158
246;0.512
248;0.5084
250;0.5045
252;0.5006
254;0.4968
256;0.493
258;0.4895
260;0.4856
262;0.482
264;0.4784
266;0.4747
268;0.4712
270;0.4677
272;0.4641
274;0.4607
276;0.4572
278;0.4537
280;0.4503
282;0.4468
284;0.4434
286;0.4401
288;0.4369
290;0.4334
292;0.4302
294;0.4269
296;0.4239
298;0.4205
300;0.4173
302;0.4142
304;0.411
306;0.4078
308;0.4046
310;0.4014
312;0.3983
314;0.3952
316;0.3921
318;0.3893
320;0.3863
322;0.3832
324;0.3803
326;0.3773
328;0.3744
330;0.3716
332;0.3686
334;0.3656
336;0.3629
338;0.3603
340;0.3574
342;0.3547
344;0.3519
346;0.3491
348;0.3465
350;0.3438
352;0.3411
354;0.3383
356;0.3356
358;0.333
360;0.3305
362;0.3279
364;0.3253
366;0.3228
368;0.3203
370;0.3176
372;0.3149
374;0.3124
376;0.3098
378;0.3074
380;0.3051
382;0.3028
384;0.3003
386;0.298
388;0.2956
390;0.2933
392;0.2909
394;0.2887
396;0.2864
398;0.2841
400;0.2822
402;0.2797
404;0.2775
406;0.2752
408;0.273
410;0.271
412;0.2687
414;0.2665
416;0.2644
418;0.2622
420;0.2601
422;0.2581
424;0.2561
426;0.254
428;0.252
430;0.25
432;0.248
434;0.246
436;0.2441
438;0.2421
440;0.2402
442;0.2382
444;0.2362
446;0.2342
448;0.2324
450;0.2305
452;0.2286
454;0.2268
456;0.2249
458;0.2231
460;0.2212
462;0.2194
464;0.2177
466;0.2161
468;0.2143
470;0.2125
472;0.2109
474;0.2091
476;0.2073
478;0.2058
480;0.2039
482;0.2023
484;0.2007
486;0.1991
488;0.1973
490;0.1958
492;0.1942
494;0.1926
496;0.1912
498;0.1899
500;0.1883
502;0.1867
504;0.1851
506;0.1837
508;0.1821
510;0.1805
512;0.179
514;0.1776
516;0.1762
518;0.1747
520;0.1732
522;0.1718
524;0.1702
526;0.1689
528;0.1675
530;0.1661
532;0.1647
534;0.1632
536;0.1619
538;0.1605
540;0.1592
542;0.1578
544;0.1565
546;0.1552
548;0.1539
550;0.1527
552;0.1514
554;0.1502
556;0.149
558;0
560;0
562;0
564;0
566;0
568;0
570;0
572;0
574;0
576;0
578;0
580;0
582;0
584;0
586;0
588;0
590;0
592;0
594;0
596;0
598;0
600;0
602;0
604;0
606;0
608;0
610;0
612;0
614;0
616;0
618;0
620;0
622;0
624;0
626;0
628;0
630;0
632;0
634;0
636;0
638;0
640;0
642;0
644;0
646;0
648;0
650;0
652;0
654;0
656;0
658;0
660;0
662;0
664;0
666;0
668;0
670;0
672;0
674;0
676;0
678;0
680;0
682;0
684;0
686;0
688;0
690;0
692;0
694;0
696;0
698;0
700;0
702;0
704;0
706;0
708;0
710;0
712;0
714;0
716;0
718;0
720;0
722;0
724;0
726;0
728;0
730;0
732;0
734;0
736;0
738;0
740;0
742;0
744;0
746;0
748;0
750;0
752;0
754;0
756;0
758;0
760;0
762;0
764;0
766;0
768;0
770;0
772;0
774;0
776;0
778;0
780;0
782;0
784;0
786;0
788;0
790;0
792;0
794;0
796;0
798;0
800;0
802;0
804;0
806;0
808;0
810;0
812;0
814;0
816;0
818;0
820;0
822;0
824;0
826;0
828;0
830;0
832;0
834;0
836;0
838;0
840;0
842;0
844;0
846;0
848;0
850;0
852;0
854;0
856;0
858;0
860;0
862;0
864;0
866;0
868;0
870;0
872;0
874;0
876;0
878;0
880;0
882;0
884;0
886;0
888;0
890;0
892;0
894;0
896;0
898;0
900;0
902;0
904;0
906;0
908;0
910;0
912;0
914;0
916;0
918;0
920;0
922;0
924;0
926;0
928;0
930;0
932;0
934;0
936;0
938;0
940;0
942;0
944;0
946;0
948;0
950;0
952;0
954;0
956;0
958;0
960;0
962;0
964;0
966;0
968;0
970;0
972;0
974;0
976;0
978;0
980;0
982;0
984;0
986;0
988;0
990;0
992;0
994;0
996;0
998;0
1000;0
1002;0
1004;0
1006;0
1008;0
1010;0
1012;0
1014;0
1016;0
1018;0
1020;0
1022;0
1024;0
1026;0
1028;0
1030;0
1032;0
1034;0
1036;0
1038;0
1040;0
1042;0
1044;0
1046;0
1048;0
1050;0
1052;0
1054;0
1056;0
1058;0
1060;0
1062;0
1064;0
1066;0
1068;0
1070;0
1072;0
1074;0
1076;0
1078;0
1080;0
1082;0
1084;0
1086;0
1088;0
1090;0
1092;0
1094;0
1096;0
1098;0
1100;0
1102;0
1104;0
1106;0
1108;0
1110;0
1112;0
1114;0
1116;0
1118;0
1120;0
1122;0
1124;0
1126;0
1128;0
1130;0
1132;0
1134;0
1136;0
1138;0
1140;0
1142;0
1144;0
1146;0
1148;0
1150;0
1152;0
1154;0
1156;0
1158;0
1160;0
1162;0
1164;0
1166;0
1168;0
1170;0
1172;0
1174;0
1176;0
1178;0
1180;0
1182;0
1184;0
1186;0
1188;0
1190;0
1192;0
1194;0
1196;0
1198;0
1200;0
